Comment,Designator,Footprint,LCSC Part #
"0.1uF Unpolarized capacitor, small symbol","C1,C2,C3",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C62912
"22pF Unpolarized capacitor, small symbol","C4,C5",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1804
"10uF Unpolarized capacitor, small symbol",C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C95841
"1uF Unpolarized capacitor, small symbol",C7,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C116352
D Diode,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25,D26,D27,D29,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D40,D43,D44,D45,D46,D47,D48,D49,D50,D51,D52,D53,D55,D57,D58,D59,D60,D61,D62,D63,D42,D14,D56,D64,D28,D41,D54",D_SOD-123,C77987
"500m Resettable fuse, polymeric positive temperature coefficient, small symbol",F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C70069
"60@100MHz Ferrite bead, small symbol",FB1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C18305
"5.1k Resistor, small symbol","R1,R2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84375
"22 Resistor, small symbol","R4,R3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C150390
"10k Resistor, small symbol","R6,R5",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84375
Fader Potentiometer,RV2,Potentiometer_Bourns_PTA4543_Single_Slide,
"SW_Push Push button switch, generic, two pins",SW65,SW_SPST_SKQG_WithStem,C221929
"Rotary Rotary encoder, dual channel, incremental quadrate outputs",SW66,RotaryEncoder_Alps_EC11E_Vertical_H20mm,
PRTR5V0U2X ,U1,SOT143B,C12333
"ATmega32U4-AU 16MHz, 16kB Flash, 1.25kB SRAM, 512B EEPROM, USB 2.0, TQFP-44",U2,TQFP-44_10x10mm_P0.8mm,C44854
HRO-TYPE-C-31-M-12 ,USB1,HRO-TYPE-C-31-M-12-HandSoldering,C165948
"16MHz Four pin crystal, GND on pins 2 and 4, small symbol",Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C255909
