Designator,Mid X,Mid Y,Layer,Rotation
C1,228.368750mm,-184.150000mm,Bottom,0
C2,213.900000mm,-179.625000mm,Bottom,90
C3,235.550000mm,-171.075000mm,Bottom,270
C4,241.125000mm,-177.550000mm,Bottom,0
C5,241.125000mm,-174.700000mm,Bottom,0
C6,215.668750mm,-167.481250mm,Bottom,180
C7,224.475000mm,-165.900000mm,Bottom,180
D1,76.993750mm,-106.362500mm,Bottom,90
D2,96.043750mm,-106.362500mm,Bottom,90
D3,115.093750mm,-106.362500mm,Bottom,90
D4,134.143750mm,-106.362500mm,Bottom,90
D5,153.193750mm,-106.362500mm,Bottom,90
D6,172.243750mm,-106.362500mm,Bottom,90
D7,191.293750mm,-106.362500mm,Bottom,90
D8,204.350000mm,-106.750000mm,Bottom,90
D9,229.393750mm,-106.362500mm,Bottom,90
D10,248.443750mm,-106.362500mm,Bottom,90
D11,267.493750mm,-106.362500mm,Bottom,90
D12,286.543750mm,-106.362500mm,Bottom,90
D13,305.593750mm,-106.362500mm,Bottom,90
D14,334.168750mm,-106.362500mm,Bottom,90
D15,81.756250mm,-125.412500mm,Bottom,90
D16,105.568750mm,-125.350000mm,Bottom,90
D17,124.618750mm,-125.412500mm,Bottom,90
D18,143.668750mm,-125.350000mm,Bottom,90
D19,162.718750mm,-125.412500mm,Bottom,90
D20,181.768750mm,-125.412500mm,Bottom,90
D21,200.818750mm,-125.412500mm,Bottom,90
D22,219.868750mm,-125.412500mm,Bottom,90
D23,238.918750mm,-125.412500mm,Bottom,90
D24,257.968750mm,-125.350000mm,Bottom,90
D25,277.018750mm,-125.412500mm,Bottom,90
D26,296.068750mm,-125.412500mm,Bottom,90
D27,315.118750mm,-125.412500mm,Bottom,90
D28,341.312500mm,-134.937500mm,Bottom,90
D29,84.137500mm,-144.462500mm,Bottom,90
D30,110.331250mm,-144.462500mm,Bottom,90
D31,129.381250mm,-144.462500mm,Bottom,90
D32,148.431250mm,-144.462500mm,Bottom,90
D33,167.481250mm,-144.462500mm,Bottom,90
D34,186.531250mm,-144.462500mm,Bottom,90
D35,205.581250mm,-144.462500mm,Bottom,90
D36,224.631250mm,-144.525000mm,Bottom,90
D37,243.681250mm,-144.462500mm,Bottom,90
D38,262.731250mm,-144.525000mm,Bottom,90
D39,281.781250mm,-144.462500mm,Bottom,90
D40,300.831250mm,-144.462500mm,Bottom,90
D41,319.881250mm,-144.462500mm,Bottom,90
D42,343.693750mm,-163.512500mm,Bottom,90
D43,79.375000mm,-163.512500mm,Bottom,90
D44,100.806250mm,-163.512500mm,Bottom,90
D45,119.856250mm,-163.512500mm,Bottom,90
D46,138.906250mm,-163.512500mm,Bottom,90
D47,157.956250mm,-163.512500mm,Bottom,90
D48,177.006250mm,-163.512500mm,Bottom,90
D49,196.056250mm,-163.512500mm,Bottom,90
D50,215.106250mm,-163.512500mm,Bottom,90
D51,234.156250mm,-163.512500mm,Bottom,90
D52,253.206250mm,-163.450000mm,Bottom,90
D53,272.256250mm,-163.512500mm,Bottom,90
D54,291.306250mm,-163.512500mm,Bottom,90
D55,317.500000mm,-163.512500mm,Bottom,90
D56,343.693750mm,-182.625000mm,Bottom,90
D57,79.375000mm,-182.562500mm,Bottom,90
D58,103.187500mm,-182.562500mm,Bottom,90
D59,127.000000mm,-182.562500mm,Bottom,90
D60,198.437500mm,-182.562500mm,Bottom,90
D61,272.256250mm,-182.562500mm,Bottom,90
D62,300.831250mm,-182.562500mm,Bottom,90
D63,324.643750mm,-182.562500mm,Bottom,90
D64,362.743750mm,-182.562500mm,Bottom,90
F1,210.100000mm,-109.400000mm,Bottom,90
FB1,222.825000mm,-94.100000mm,Bottom,180
R1,216.200000mm,-100.925000mm,Bottom,90
R2,210.325000mm,-99.450000mm,Bottom,0
R3,219.600000mm,-163.500000mm,Bottom,90
R4,221.400000mm,-163.500000mm,Bottom,90
R5,283.275000mm,-172.600000mm,Bottom,180
R6,217.475000mm,-183.700000mm,Bottom,0
SW65,283.900000mm,-179.462500mm,Bottom,90
U1,214.100000mm,-106.200000mm,Bottom,180
U2,223.043750mm,-175.418750mm,Bottom,270
USB1,214.153750mm,-86.995000mm,Bottom,0
Y1,236.700000mm,-176.150000mm,Bottom,90
