Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",228.368750,-184.150000,0.000000,bottom
"C2","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",213.900000,-179.625000,90.000000,bottom
"C3","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",235.550000,-171.075000,270.000000,bottom
"C4","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",241.125000,-177.550000,0.000000,bottom
"C5","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",241.125000,-174.700000,0.000000,bottom
"C6","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",215.668750,-167.481250,180.000000,bottom
"C7","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",224.475000,-165.900000,180.000000,bottom
"D1","D","D_SOD-123",76.993750,-106.362500,90.000000,bottom
"D2","D","D_SOD-123",96.043750,-106.362500,90.000000,bottom
"D3","D","D_SOD-123",115.093750,-106.362500,90.000000,bottom
"D4","D","D_SOD-123",134.143750,-106.362500,90.000000,bottom
"D5","D","D_SOD-123",153.193750,-106.362500,90.000000,bottom
"D6","D","D_SOD-123",172.243750,-106.362500,90.000000,bottom
"D7","D","D_SOD-123",191.293750,-106.362500,90.000000,bottom
"D8","D","D_SOD-123",204.350000,-106.750000,90.000000,bottom
"D9","D","D_SOD-123",229.393750,-106.362500,90.000000,bottom
"D10","D","D_SOD-123",248.443750,-106.362500,90.000000,bottom
"D11","D","D_SOD-123",267.493750,-106.362500,90.000000,bottom
"D12","D","D_SOD-123",286.543750,-106.362500,90.000000,bottom
"D13","D","D_SOD-123",305.593750,-106.362500,90.000000,bottom
"D14","D","D_SOD-123",334.168750,-106.362500,90.000000,bottom
"D15","D","D_SOD-123",81.756250,-125.412500,90.000000,bottom
"D16","D","D_SOD-123",105.568750,-125.350000,90.000000,bottom
"D17","D","D_SOD-123",124.618750,-125.412500,90.000000,bottom
"D18","D","D_SOD-123",143.668750,-125.350000,90.000000,bottom
"D19","D","D_SOD-123",162.718750,-125.412500,90.000000,bottom
"D20","D","D_SOD-123",181.768750,-125.412500,90.000000,bottom
"D21","D","D_SOD-123",200.818750,-125.412500,90.000000,bottom
"D22","D","D_SOD-123",219.868750,-125.412500,90.000000,bottom
"D23","D","D_SOD-123",238.918750,-125.412500,90.000000,bottom
"D24","D","D_SOD-123",257.968750,-125.350000,90.000000,bottom
"D25","D","D_SOD-123",277.018750,-125.412500,90.000000,bottom
"D26","D","D_SOD-123",296.068750,-125.412500,90.000000,bottom
"D27","D","D_SOD-123",315.118750,-125.412500,90.000000,bottom
"D28","D","D_SOD-123",341.312500,-134.937500,90.000000,bottom
"D29","D","D_SOD-123",84.137500,-144.462500,90.000000,bottom
"D30","D","D_SOD-123",110.331250,-144.462500,90.000000,bottom
"D31","D","D_SOD-123",129.381250,-144.462500,90.000000,bottom
"D32","D","D_SOD-123",148.431250,-144.462500,90.000000,bottom
"D33","D","D_SOD-123",167.481250,-144.462500,90.000000,bottom
"D34","D","D_SOD-123",186.531250,-144.462500,90.000000,bottom
"D35","D","D_SOD-123",205.581250,-144.462500,90.000000,bottom
"D36","D","D_SOD-123",224.631250,-144.525000,90.000000,bottom
"D37","D","D_SOD-123",243.681250,-144.462500,90.000000,bottom
"D38","D","D_SOD-123",262.731250,-144.525000,90.000000,bottom
"D39","D","D_SOD-123",281.781250,-144.462500,90.000000,bottom
"D40","D","D_SOD-123",300.831250,-144.462500,90.000000,bottom
"D41","D","D_SOD-123",319.881250,-144.462500,90.000000,bottom
"D42","D","D_SOD-123",343.693750,-163.512500,90.000000,bottom
"D43","D","D_SOD-123",79.375000,-163.512500,90.000000,bottom
"D44","D","D_SOD-123",100.806250,-163.512500,90.000000,bottom
"D45","D","D_SOD-123",119.856250,-163.512500,90.000000,bottom
"D46","D","D_SOD-123",138.906250,-163.512500,90.000000,bottom
"D47","D","D_SOD-123",157.956250,-163.512500,90.000000,bottom
"D48","D","D_SOD-123",177.006250,-163.512500,90.000000,bottom
"D49","D","D_SOD-123",196.056250,-163.512500,90.000000,bottom
"D50","D","D_SOD-123",215.106250,-163.512500,90.000000,bottom
"D51","D","D_SOD-123",234.156250,-163.512500,90.000000,bottom
"D52","D","D_SOD-123",253.206250,-163.450000,90.000000,bottom
"D53","D","D_SOD-123",272.256250,-163.512500,90.000000,bottom
"D54","D","D_SOD-123",291.306250,-163.512500,90.000000,bottom
"D55","D","D_SOD-123",317.500000,-163.512500,90.000000,bottom
"D56","D","D_SOD-123",343.693750,-182.625000,90.000000,bottom
"D57","D","D_SOD-123",79.375000,-182.562500,90.000000,bottom
"D58","D","D_SOD-123",103.187500,-182.562500,90.000000,bottom
"D59","D","D_SOD-123",127.000000,-182.562500,90.000000,bottom
"D60","D","D_SOD-123",198.437500,-182.562500,90.000000,bottom
"D61","D","D_SOD-123",272.256250,-182.562500,90.000000,bottom
"D62","D","D_SOD-123",300.831250,-182.562500,90.000000,bottom
"D63","D","D_SOD-123",324.643750,-182.562500,90.000000,bottom
"D64","D","D_SOD-123",362.743750,-182.562500,90.000000,bottom
"F1","500m","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",210.100000,-109.400000,90.000000,bottom
"FB1","60@100MHz","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",222.825000,-94.100000,180.000000,bottom
"R1","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",216.200000,-100.925000,90.000000,bottom
"R2","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",210.325000,-99.450000,0.000000,bottom
"R3","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",219.600000,-163.500000,90.000000,bottom
"R4","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",221.400000,-163.500000,90.000000,bottom
"R5","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",283.275000,-172.600000,180.000000,bottom
"R6","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",217.475000,-183.700000,0.000000,bottom
"SW65","SW_Push","SW_SPST_SKQG_WithStem",283.900000,-179.462500,90.000000,bottom
"U1","PRTR5V0U2X","SOT143B",214.100000,-106.200000,180.000000,bottom
"U2","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",223.043750,-175.418750,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",214.153750,-86.995000,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",236.700000,-176.150000,90.000000,bottom
